# integrationTime=3.228138e+02s
0	34
4	48
8	37
12	38
16	37
20	23
24	20
28	30
32	37
36	39
40	49
44	48
48	53
52	51
56	23
60	38
64	41
68	34
72	31
76	44
80	34
84	46
88	40
92	45
96	37
100	42
104	52
108	34
112	44
116	43
120	45
124	41
128	37
132	41
136	24
140	40
144	39
148	40
152	35
156	28
160	48
164	43
168	59
172	34
176	44
180	35
184	42
188	47
192	46
196	38
200	28
204	49
208	41
212	40
216	36
220	46
224	38
228	40
232	36
236	48
240	34
244	34
248	39
252	50
256	37
260	40
264	36
268	45
272	25
276	36
280	45
284	47
288	58
292	39
296	34
300	46
304	31
308	37
312	49
316	52
320	46
324	36
328	46
332	46
336	37
340	43
344	30
348	39
352	39
356	44
360	46
364	40
368	35
372	25
376	35
380	45
384	39
388	38
392	52
396	57
400	52
404	72
408	80
412	107
416	63
420	50
424	46
428	42
432	45
436	40
440	31
444	53
448	33
452	36
456	38
460	35
464	41
468	38
472	52
476	59
480	37
484	39
488	50
492	52
496	220
500	369
504	462
508	340
512	145
516	64
520	43
524	35
528	40
532	43
536	50
540	44
544	40
548	40
552	48
556	33
560	46
564	37
568	48
572	36
576	42
580	38
584	42
588	206
592	871
596	1006
600	809
604	354
608	134
612	64
616	63
620	40
624	49
628	40
632	51
636	44
640	49
644	38
648	34
652	57
656	45
660	39
664	35
668	33
672	35
676	30
680	50
684	215
688	296
692	290
696	154
700	86
704	44
708	39
712	35
716	46
720	40
724	40
728	38
732	30
736	35
740	40
744	31
748	57
752	38
756	35
760	27
764	38
768	38
772	42
776	195
780	343
784	418
788	248
792	112
796	68
800	58
804	43
808	35
812	28
816	45
820	45
824	47
828	25
832	50
836	39
840	41
844	35
848	36
852	33
856	38
860	42
864	36
868	56
872	212
876	252
880	208
884	100
888	52
892	46
896	44
900	38
904	45
908	41
912	46
916	39
920	38
924	35
928	45
932	37
936	40
940	37
944	40
948	39
952	43
956	33
960	62
964	281
968	380
972	364
976	261
980	104
984	61
988	39
992	38
996	46
1000	41
1004	48
1008	46
1012	36
1016	37
1020	39
1024	49
1028	47
1032	50
1036	41
1040	42
1044	42
1048	38
1052	43
1056	47
1060	38
1064	41
1068	57
1072	34
1076	43
1080	41
1084	35
1088	35
1092	31
1096	34
1100	42
1104	23
1108	31
1112	35
1116	52
1120	34
1124	40
1128	36
1132	47
1136	48
1140	40
1144	33
1148	90
1152	304
1156	372
1160	338
1164	180
1168	75
1172	44
1176	48
1180	46
1184	41
1188	36
1192	44
1196	43
1200	43
1204	40
1208	39
1212	42
1216	60
1220	44
1224	40
1228	33
1232	27
1236	41
1240	46
1244	206
1248	274
1252	257
1256	140
1260	75
1264	59
1268	41
1272	28
1276	34
1280	40
1284	33
1288	38
1292	44
1296	29
1300	36
1304	42
1308	36
1312	42
1316	41
1320	41
1324	49
1328	39
1332	32
1336	34
1340	50
1344	38
1348	42
1352	37
1356	31
1360	49
1364	39
1368	39
1372	41
1376	41
1380	45
1384	38
1388	39
1392	44
1396	42
1400	42
1404	37
1408	36
1412	33
1416	39
1420	40
1424	34
1428	70
1432	184
1436	217
1440	170
1444	92
1448	58
1452	43
1456	48
1460	36
1464	36
1468	32
